Alteromonas tetraodonis
Aeromonas
Bacteroides fragilis
Bacteroides thetaiotaomicron
Capnocytophaga canimorus
Chryseobacterium meningosepticum
Veillonella dispar
Anaerococcus prevotii
Peptococcus niger
Peptostreptococcus anaerobius
Clostridium septicum
Clostridium difficile
Clostridium tetani
Clostridium perfringens
Clostridium botulinum
Haemophilus aegyptius
Haemophilus influenzae
Haemophilus parahaemolyticus
Haemophilus parainfluenzae
Haemophilus paraphrophilus
Pasteurella multocida
Haemophilus ducreyi
Acinetobacter calcoaceticus
Acinetobacter baumannii
Acinetobacter lwoffii
Acinetobacter radioresistans
Moraxella catarrhalis
Acinetobacter calcoaceticus
Pseudomonas syringae pv. glycinea
Pseudomonas alcaligenes
Pseudomonas fluorescens
Pseudomonas putida
Pseudomonas stutzeri
Pseudomonas aeruginosa
Vibrio mimicus
Vibrio parahaemolyticus
Vibrio vulnificus
Stenotrophomonas maltophilia
Xanthomonas campestris pv. malvacearum
Xanthomonas oryzae pv. oryzae
Xanthomonas oryzae pv. oryzicola
Xylella fastidiosa
Edwardsiella tarda
Enterobacter aerogenes
Enterobacter cloacae
Klebsiella oxytoca
Morganella morganii
Proteus mirabilis
Proteus vulgaris
Providencia stuartii
Mycobacterium abscessus
Mycobacterium fortuitum
Mycobacterium leprae
Mycobacterium haemophilum
Mycobacterium marinum
Mycobacterium scrofulaceum
Mycobacterium szulgai
Mycobacterium simiae
Mycobacterium ulcerans
Mycobacterium xenopi
Mycobacterium tuberculosis
Mycobacterium avium
Mycobacterium kansasii
Mycobacterium bovis
Chlamydia pneumoniae
Chlamydia trachomatis
Parachlamydia acanthamoebae
Chlamydia psittaci
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus viridans
Streptococcus milleri
Streptococcus intermedius
Streptococcus bovis
Streptococcus agalactiae
Streptococcus equi
Enterococcus faecalis
Enterococcus faecium
Enterococcus flavescens
Streptococcus canis
Streptococcus criceti
Streptococcus suis
Streptococcus uberis
Streptococcus acidominimus
Mycoplasma mycoides
Mycoplasma capricolum
Mycoplasma pneumoniae
Erysipelothrix rhusiopathiae
Fusobacterium necrophorum
Streptobacillus moniliformis
Campylobacter fetus
Helicobacter pylori
Campylobacter jejuni
Campylobacter coli
Campylobacter hyointestinalis
Campylobacter lari
Campylobacter upsaliensis
Ehrlichia ruminantium
Rickettsia felis
Ehrlichia canis
Ehrlichia ewingii
Ehrlichia chaffeensis
Neorickettsia sennetsu
Orientia tsutsugamushi
Anaplasma phagocytophilum
Rickettsia conorii
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia typhi
Eikenella corrodens
Neisseria gonorrhoeae
Neisseria meningitidis
Spirillum minus
Citrobacter freundii
Salmonella paratyphi
Salmonella bongori
Klebsiella pneumoniae
Salmonella .* typhimurium
Serratia marcescens
Yersinia enterocolitica
Shigella dysenteriae
Salmonella .* typhi\s+ 
Salmonella enteriditis
Salmonella choleraesuis
Shigella boydii
Shigella flexneri
Shigella sonnei
Francisella tularensis
Listeria monocytogenes
Listeria ivanovii
Listeria seeligeri
Listeria welshimeri
Corynebacterium diphtheriae
Corynebacterium amycolatum
Corynebacterium xerosis
Corynebacterium jeikeium
Rhodococcus equi
Nocardia nova
Nocardia asteroides
Actinomyces naeslundii
Propionibacterium acnes
Actinomyces israelii
Rothia dentocariosa
Clavibacter michiganensis
Legionella longbeachae
Legionella pneumophila
Tatlockia micdadei
Coxiella burnetti
Bordetella pertussis
Ralstonia mannitolilytica
Ralstonia pickettii
Ralstonia solanacearum
Burkholderia cepacia
Burkholderia mallei
Burkholderia pseudomallei
Escherichia coli
Vibrio cholerae
Yersinia pseudotuberculosis
Yersinia pestis
Bacillus subtilis
Bacillus cereus
Bacillus anthracis
Staphylococcus haemolyticus
Staphylococcus epidermidis
Staphylococcus intermedius
Staphylococcus saprophyticus
Staphylococcus aureus
Borrelia recurrentis
Treponema pallidum
Borrelia hermsii
Borrelia turicatae
Leptospira interrogans
Borrelia burgdorferi
Agrobacterium tumefaciens
Candidatus Liberibacter africanus
Candidatus Liberibacter asiaticus
Bartonella bacilliformis
Bartonella henselae
Bartonella quintana
Brucella melitensis
